Volatility 3 Framework 2.5.2

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime

4	0	System	0x92022f07b080	161	-	N/A	False	2024-04-29 20:12:35.000000 	N/A
* 392	4	smss.exe	0x92022fdcc040	2	-	N/A	False	2024-04-29 20:12:35.000000 	N/A
* 1816	4	MemCompression	0x92023e0bf080	22	-	N/A	False	2024-04-29 20:12:44.000000 	N/A
* 92	4	Registry	0x92022f1e3040	4	-	N/A	False	2024-04-29 20:12:33.000000 	N/A
504	488	csrss.exe	0x920230be8080	11	-	0	False	2024-04-29 20:12:42.000000 	N/A
580	488	wininit.exe	0x920235b1e080	1	-	0	False	2024-04-29 20:12:42.000000 	N/A
* 712	580	services.exe	0x920235b68080	10	-	0	False	2024-04-29 20:12:42.000000 	N/A
** 1040	712	svchost.exe	0x92023c1eb2c0	3	-	0	False	2024-04-29 20:12:44.000000 	N/A
** 8216	712	svchost.exe	0x920230cdc280	10	-	0	False	2024-05-02 20:15:41.000000 	N/A
** 2092	712	svchost.exe	0x92023ddbf240	9	-	0	False	2024-04-29 20:12:44.000000 	N/A
*** 4208	2092	sihost.exe	0x92023b461080	13	-	1	False	2024-04-29 20:12:48.000000 	N/A
** 3116	712	svchost.exe	0x92023e281240	5	-	0	False	2024-04-29 20:12:45.000000 	N/A
** 3128	712	svchost.exe	0x92023e282080	12	-	0	False	2024-04-29 20:12:45.000000 	N/A
** 1600	712	VBoxService.ex	0x92022f079080	11	-	0	False	2024-04-29 20:12:44.000000 	N/A
** 7236	712	svchost.exe	0x92023b1b6080	4	-	0	False	2024-04-29 20:27:47.000000 	N/A
** 1096	712	svchost.exe	0x92023c1e3280	2	-	0	False	2024-04-29 20:12:44.000000 	N/A
** 1616	712	svchost.exe	0x92023bbce2c0	9	-	0	False	2024-04-29 20:12:44.000000 	N/A
** 1108	712	svchost.exe	0x92023b9f4300	4	-	0	False	2024-04-29 20:12:44.000000 	N/A
** 3668	712	svchost.exe	0x92023e426300	12	-	0	False	2024-04-29 20:12:46.000000 	N/A
** 1640	712	svchost.exe	0x92023bbcf080	5	-	0	False	2024-04-29 20:12:44.000000 	N/A
** 6760	712	svchost.exe	0x92023b159340	4	-	0	False	2024-04-29 20:14:47.000000 	N/A
** 4724	712	svchost.exe	0x92023c1b5280	4	-	0	False	2024-04-29 20:12:48.000000 	N/A
*** 4816	4724	ctfmon.exe	0x92023b48d2c0	11	-	1	False	2024-04-29 20:12:49.000000 	N/A
** 1668	712	svchost.exe	0x92023bbd12c0	7	-	0	False	2024-04-29 20:12:44.000000 	N/A
** 3716	712	svchost.exe	0x92023b246300	3	-	0	False	2024-04-29 20:12:47.000000 	N/A
** 1168	712	svchost.exe	0x92023b304300	8	-	0	False	2024-04-29 20:12:44.000000 	N/A
** 1680	712	svchost.exe	0x92023bbc4080	5	-	0	False	2024-04-29 20:12:44.000000 	N/A
** 2196	712	svchost.exe	0x92023e84f240	6	-	0	False	2024-04-29 20:12:44.000000 	N/A
** 4252	712	svchost.exe	0x92023b48a340	9	-	1	False	2024-04-29 20:12:48.000000 	N/A
** 3744	712	svchost.exe	0x92023b2482c0	2	-	0	False	2024-04-29 20:12:47.000000 	N/A
** 1704	712	svchost.exe	0x92023bbc6080	4	-	0	False	2024-04-29 20:12:44.000000 	N/A
** 2228	712	svchost.exe	0x92023e8432c0	12	-	0	False	2024-04-29 20:12:44.000000 	N/A
** 1228	712	svchost.exe	0x92023d2d8300	2	-	0	False	2024-04-29 20:12:44.000000 	N/A
** 2252	712	svchost.exe	0x92023e8590c0	3	-	0	False	2024-04-29 20:12:44.000000 	N/A
** 4300	712	svchost.exe	0x92023b486080	6	-	1	False	2024-04-29 20:12:48.000000 	N/A
** 7888	712	svchost.exe	0x92023b81a080	0	-	0	False	2024-04-29 20:19:44.000000 	2024-04-29 20:19:50.000000 
** 2264	712	svchost.exe	0x92023e85a080	6	-	0	False	2024-04-29 20:12:44.000000 	N/A
** 4824	712	svchost.exe	0x92023b7ea080	3	-	0	False	2024-05-02 21:03:39.000000 	N/A
** 6876	712	svchost.exe	0x92023c30b080	3	-	0	False	2024-05-02 20:20:04.000000 	N/A
** 9952	712	svchost.exe	0x92023b5e60c0	16	-	0	False	2024-05-02 21:20:32.000000 	N/A
** 2800	712	svchost.exe	0x92023e011280	2	-	0	False	2024-04-29 20:12:45.000000 	N/A
*** 2652	2800	dasHost.exe	0x92023e277280	3	-	0	False	2024-04-29 20:12:45.000000 	N/A
** 2292	712	svchost.exe	0x92023bf1c340	9	-	0	False	2024-04-29 20:14:47.000000 	N/A
** 760	712	svchost.exe	0x92023e008080	5	-	0	False	2024-05-02 20:36:02.000000 	N/A
** 2808	712	svchost.exe	0x92023e0872c0	16	-	0	False	2024-04-29 20:12:45.000000 	N/A
** 1276	712	svchost.exe	0x92023d2c20c0	5	-	0	False	2024-04-29 20:12:44.000000 	N/A
** 768	712	svchost.exe	0x92023d267300	6	-	0	False	2024-04-29 20:12:47.000000 	N/A
** 2824	712	svchost.exe	0x92023e086080	15	-	0	False	2024-04-29 20:12:45.000000 	N/A
*** 4144	2824	AggregatorHost	0x92023b44a100	2	-	0	False	2024-04-29 20:12:48.000000 	N/A
